Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: PCNTR Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: PCU Architecture: structure, 0h:00m:00s,     84 MB
work, Entity: BUFBA Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: ring_oscillator Architecture: behavior, 0h:00m:00s,     84 MB
work, Entity: INV Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: MUX21 Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: P3035A_RAM Architecture: structure, 0h:00m:00s,     84 MB
work, Entity: DP8KC Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: P3035A_ROM Architecture: structure, 0h:00m:00s,     84 MB
work, Entity: VHI Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: AND2 Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: FADD2B Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: VLO Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: MULT2 Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: FD1P3DX Architecture: syn_black_box, 0h:00m:00s,     84 MB
work, Entity: P3035A_MUL Architecture: structure, 0h:00m:00s,     84 MB
work, Entity: OSR8_CPU Architecture: behavior, 0h:00m:00s,     96 MB
work, Entity: main Architecture: behavior, 0h:00m:00s,     96 MB
